구,동,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도
강남구,역삼동,개나리래미안,129.8,202201,3,325000,14,2006
강남구,역삼동,강남역우정에쉐르,17.13,202201,5,20500,11,2004
강남구,도곡동,아카데미스위트1,122.07,202201,6,220000,22,2004
강남구,역삼동,역삼I'PARK,28.246,202201,7,85400,5,2006
강남구,대치동,동부센트레빌,145.83,202201,7,425000,21,2005
강남구,역삼동,우정에쉐르멤버스,36.19,202201,7,58000,9,2004
강남구,논현동,그랑디오스,132.96,202201,8,159140,5,2004
강남구,논현동,그랑디오스,132.96,202201,8,159140,5,2004
강남구,도곡동,타워팰리스2,154.35,202201,12,410000,42,2003
강남구,대치동,대우아이빌멤버스(891-26),51.026,202201,12,54500,10,2003
강남구,도곡동,현대비젼21,35.48,202201,14,50000,20,1999
강남구,개포동,래미안블레스티지,84.943,202201,15,300000,7,2019
강남구,논현동,거평프리젠,32.835,202201,15,40000,6,1996
강남구,자곡동,엘에이치강남힐스테이트,51.96,202201,17,118000,11,2015
강남구,청담동,신동아,84.94,202201,19,220000,2,1997
강남구,도곡동,한신(개포),83.86,202201,23,281000,5,1985
강남구,개포동,성원대치2단지아파트,33.18,202201,25,120000,8,1992
강남구,일원동,디에이치자이개포,84.94,202201,26,208273,29,2021
강남구,도곡동,타워팰리스3,163.567,202201,27,420000,42,2004
강남구,논현동,마일스디오빌,36.29,202201,27,42000,14,2004
강남구,역삼동,한화진넥스빌,43.58,202201,27,46500,20,2001
강남구,역삼동,브라운스톤역삼,59.96,202201,27,109000,7,2004
강남구,역삼동,테헤란아이파크,70.8333,202201,31,220000,2,2014
강남구,대치동,테헤란로대우아이빌(891-6),33.11,202202,4,43600,23,2004
강남구,도곡동,현대비젼21,33.1,202202,4,42000,20,1999
강남구,도곡동,대우디오빌,25.89,202202,5,24000,7,2004
강남구,압구정동,"현대7차(73~77,82,85동)",144.2,202202,9,500000,14,1979
강남구,개포동,그린빌리지,197.91,202202,11,180000,4,1996
강남구,자곡동,엘에이치강남힐스테이트,59.93,202202,12,116000,7,2015
강남구,역삼동,금호어울림,132.88,202202,14,208000,14,2003
강남구,청담동,연세힐하우스1,187.73,202202,14,300000,1,2003
강남구,논현동,벨러스빌,86.51,202202,14,65000,5,2004
강남구,삼성동,현대타워(13층-27층),149.99,202202,15,225000,26,1998
강남구,도곡동,타워팰리스1,164.95,202202,19,435000,10,2002
강남구,논현동,마일스디오빌,36.29,202202,19,39000,9,2004
강남구,압구정동,"현대6차(78~81,83,84,86,87동)",144.7,202202,19,490000,8,1978
강남구,도곡동,타워팰리스2,160.56,202202,21,380000,4,2003
강남구,대치동,은마,84.43,202202,22,255000,4,1979
강남구,삼성동,LG선릉에클라트(B),36.35,202202,22,40200,11,2004
강남구,도곡동,래미안도곡카운티,59.98,202202,23,225000,20,2016
강남구,논현동,아크로힐스논현,84.208,202202,24,210000,4,2014
강남구,청담동,청담신원아침도시마인,49.4473,202202,25,82500,8,2013
강남구,청담동,라테라스청담,18.55,202202,28,34000,4,2018
강남구,청담동,휴먼스타빌,35.905,202202,28,80000,14,2005
강남구,일원동,수서,39.98,202203,1,107000,15,1992
강남구,대치동,테헤란로대우아이빌(891-6),35.51,202203,10,42200,23,2004
강남구,청담동,청담스위트,13.425,202203,11,22750,5,2015
강남구,삼성동,삼성동헤렌하우스2(82-1),217.86,202203,11,500000,6,2010
강남구,도곡동,도곡1차아이파크,130.259,202203,12,283000,27,2007
강남구,압구정동,신현대11차,183.41,202203,17,595000,4,1983
강남구,도곡동,대우디오빌,25.89,202203,17,23800,8,2004
강남구,신사동,신사아크존2,135.72,202203,17,228000,2,2005
강남구,도곡동,상지리츠빌카일룸,210.5,202203,17,610000,2,2018
강남구,청담동,청담로얄카운티,244.95,202203,18,445000,3,1999
강남구,논현동,동양파라곤,160.33,202203,21,333000,14,2004
강남구,신사동,압구정대원칸타빌아파트,97.08,202203,21,188000,3,2001
강남구,수서동,강남 더샵 포레스트,146.6888,202203,24,348000,6,2016
강남구,대치동,개포우성1,127.61,202203,24,375000,1,1983
강남구,삼성동,삼성동힐스테이트 1단지,114.463,202203,25,250000,16,2008
강남구,개포동,성원대치2단지아파트,33.18,202203,27,120000,12,1992
강남구,대치동,테헤란로대우아이빌(891-6),33.11,202203,28,34000,3,2004
강남구,대치동,대치아이파크,119.58,202203,29,400000,20,2008
강남구,도곡동,타워팰리스2,124.11,202203,29,335000,40,2003
강남구,대치동,개포우성1,127.61,202203,30,409000,11,1983
강남구,논현동,마일스디오빌,36.29,202203,30,40900,14,2004
강남구,압구정동,한양4,101.09,202203,30,330000,8,1978
강남구,도곡동,타워팰리스3,244.224,202203,30,554000,63,2004
강남구,일원동,한솔마을,63.76,202203,31,178000,2,1994
강남구,개포동,개포래미안포레스트,102.32,202204,1,369000,13,2020
강남구,도곡동,럭키(963),124.1,202204,2,270000,2,1995
강남구,삼성동,LG선릉에클라트(B),36.35,202204,2,38200,12,2004
강남구,역삼동,역삼래미안,80.87,202204,8,274000,5,2005
강남구,개포동,디에이치아너힐즈,76.1709,202204,8,305000,23,2019
강남구,대치동,동부센트레빌,145.83,202204,9,470000,19,2005
강남구,대치동,선경1차(1동-7동),84.35,202204,11,320000,13,1983
강남구,압구정동,"현대5차(71,72동)",82.23,202204,12,410000,10,1977
강남구,개포동,개포6차우성아파트1동~8동,79.97,202204,12,220000,4,1987
강남구,일원동,샘터마을,134.438,202204,13,275000,11,1994
강남구,자곡동,래미안강남힐즈,91.96,202204,13,201000,7,2014
강남구,논현동,펜트힐루논현,43.392,202204,15,110000,7,2021
강남구,논현동,두산위브2단지,106.829,202204,16,206000,9,2004
강남구,청담동,연세리버빌3,243.21,202204,16,526000,2,1999
강남구,개포동,성원대치2단지아파트,33.18,202204,18,110000,9,1992
강남구,압구정동,미성2차,74.4,202204,19,321000,16,1987
강남구,수서동,강남데시앙포레,101.73,202204,20,216500,15,2014
강남구,논현동,동양파라곤,180.07,202204,21,245000,5,2004
강남구,개포동,현대2,131.83,202204,21,291500,3,1986
강남구,대치동,한보미도맨션1,128.01,202204,22,390000,13,1983
강남구,논현동,신동아(22),35.73,202204,23,98000,11,1997
강남구,논현동,동현아파트1~6,119.67,202204,23,290000,11,1985
강남구,압구정동,"현대1차(12,13,21,22,31,32,33동)",131.48,202204,25,470000,5,1976
강남구,도곡동,도곡1차아이파크,130.259,202204,27,303000,27,2007
강남구,청담동,청담스위트,12.449,202204,27,23300,5,2015
강남구,청담동,PH129,273.96,202204,28,1450000,16,2020
강남구,삼성동,이안애빌,106.89,202205,2,177000,5,2004
강남구,신사동,RudenHouse,84.44,202205,2,103000,1,2007
강남구,청담동,진흥아파트,109.31,202205,2,243500,7,1984
강남구,대치동,대우아이빌명문가(891-23),33.06,202205,4,34000,11,2004
강남구,도곡동,도곡쌍용예가,107.53,202205,5,224000,3,1978
강남구,도곡동,럭키(963),84.97,202205,6,235500,7,1995
강남구,대치동,한보미도맨션2,190.47,202205,9,507500,8,1985
