user_id,signup_month,plan,channel,activity_month
1,2024-01,free,organic,2024-01
2,2024-07,free,paid_search,2024-07
2,2024-07,free,paid_search,2024-08
2,2024-07,free,paid_search,2024-09
2,2024-07,free,paid_search,2024-10
3,2024-06,free,paid_search,2024-06
4,2024-04,starter,referral,2024-04
4,2024-04,starter,referral,2024-05
4,2024-04,starter,referral,2024-06
4,2024-04,starter,referral,2024-07
4,2024-04,starter,referral,2024-08
4,2024-04,starter,referral,2024-09
4,2024-04,starter,referral,2024-10
4,2024-04,starter,referral,2024-11
4,2024-04,starter,referral,2024-12
4,2024-04,starter,referral,2025-01
4,2024-04,starter,referral,2025-02
4,2024-04,starter,referral,2025-03
5,2024-04,free,paid_search,2024-04
6,2024-08,pro,organic,2024-08
6,2024-08,pro,organic,2024-09
6,2024-08,pro,organic,2024-10
6,2024-08,pro,organic,2024-11
6,2024-08,pro,organic,2024-12
6,2024-08,pro,organic,2025-01
6,2024-08,pro,organic,2025-02
6,2024-08,pro,organic,2025-03
7,2024-01,starter,organic,2024-01
7,2024-01,starter,organic,2024-02
7,2024-01,starter,organic,2024-03
7,2024-01,starter,organic,2024-04
7,2024-01,starter,organic,2024-05
7,2024-01,starter,organic,2024-06
7,2024-01,starter,organic,2024-07
7,2024-01,starter,organic,2024-08
7,2024-01,starter,organic,2024-09
7,2024-01,starter,organic,2024-10
7,2024-01,starter,organic,2024-11
7,2024-01,starter,organic,2024-12
7,2024-01,starter,organic,2025-01
8,2024-07,starter,organic,2024-07
8,2024-07,starter,organic,2024-08
9,2024-02,free,content,2024-02
10,2024-01,enterprise,organic,2024-01
10,2024-01,enterprise,organic,2024-02
10,2024-01,enterprise,organic,2024-03
11,2024-05,free,content,2024-05
11,2024-05,free,content,2024-06
12,2024-09,free,organic,2024-09
13,2024-07,free,organic,2024-07
13,2024-07,free,organic,2024-08
13,2024-07,free,organic,2024-09
14,2024-07,pro,organic,2024-07
14,2024-07,pro,organic,2024-08
14,2024-07,pro,organic,2024-09
14,2024-07,pro,organic,2024-10
14,2024-07,pro,organic,2024-11
14,2024-07,pro,organic,2024-12
14,2024-07,pro,organic,2025-01
14,2024-07,pro,organic,2025-02
14,2024-07,pro,organic,2025-03
15,2024-07,free,organic,2024-07
15,2024-07,free,organic,2024-08
15,2024-07,free,organic,2024-09
15,2024-07,free,organic,2024-10
16,2024-08,starter,referral,2024-08
17,2024-05,free,paid_search,2024-05
17,2024-05,free,paid_search,2024-06
18,2024-02,enterprise,organic,2024-02
18,2024-02,enterprise,organic,2024-03
18,2024-02,enterprise,organic,2024-04
18,2024-02,enterprise,organic,2024-05
18,2024-02,enterprise,organic,2024-06
18,2024-02,enterprise,organic,2024-07
18,2024-02,enterprise,organic,2024-08
18,2024-02,enterprise,organic,2024-09
18,2024-02,enterprise,organic,2024-10
18,2024-02,enterprise,organic,2024-11
18,2024-02,enterprise,organic,2024-12
18,2024-02,enterprise,organic,2025-01
18,2024-02,enterprise,organic,2025-02
18,2024-02,enterprise,organic,2025-03
19,2024-08,free,referral,2024-08
19,2024-08,free,referral,2024-09
19,2024-08,free,referral,2024-10
19,2024-08,free,referral,2024-11
20,2024-05,free,paid_search,2024-05
21,2024-05,enterprise,content,2024-05
22,2024-04,free,content,2024-04
23,2024-02,free,referral,2024-02
23,2024-02,free,referral,2024-03
23,2024-02,free,referral,2024-04
23,2024-02,free,referral,2024-05
23,2024-02,free,referral,2024-06
23,2024-02,free,referral,2024-07
24,2024-09,free,referral,2024-09
25,2024-08,free,referral,2024-08
26,2024-06,free,paid_search,2024-06
26,2024-06,free,paid_search,2024-07
26,2024-06,free,paid_search,2024-08
26,2024-06,free,paid_search,2024-09
27,2024-04,free,referral,2024-04
27,2024-04,free,referral,2024-05
27,2024-04,free,referral,2024-06
27,2024-04,free,referral,2024-07
28,2024-08,free,organic,2024-08
29,2024-05,pro,referral,2024-05
30,2024-04,free,content,2024-04
30,2024-04,free,content,2024-05
30,2024-04,free,content,2024-06
30,2024-04,free,content,2024-07
30,2024-04,free,content,2024-08
31,2024-05,free,organic,2024-05
32,2024-03,free,referral,2024-03
32,2024-03,free,referral,2024-04
32,2024-03,free,referral,2024-05
32,2024-03,free,referral,2024-06
32,2024-03,free,referral,2024-07
32,2024-03,free,referral,2024-08
33,2024-01,free,content,2024-01
33,2024-01,free,content,2024-02
33,2024-01,free,content,2024-03
33,2024-01,free,content,2024-04
33,2024-01,free,content,2024-05
33,2024-01,free,content,2024-06
34,2024-05,starter,organic,2024-05
34,2024-05,starter,organic,2024-06
35,2024-08,pro,paid_search,2024-08
35,2024-08,pro,paid_search,2024-09
35,2024-08,pro,paid_search,2024-10
35,2024-08,pro,paid_search,2024-11
35,2024-08,pro,paid_search,2024-12
36,2024-01,pro,content,2024-01
36,2024-01,pro,content,2024-02
36,2024-01,pro,content,2024-03
36,2024-01,pro,content,2024-04
36,2024-01,pro,content,2024-05
36,2024-01,pro,content,2024-06
36,2024-01,pro,content,2024-07
36,2024-01,pro,content,2024-08
36,2024-01,pro,content,2024-09
36,2024-01,pro,content,2024-10
36,2024-01,pro,content,2024-11
