post_id,published_at,track,theme,views,likes,replies,reposts,quotes
p0001,2025-01-01 21:01:35,professional,hot-take,2039,13,6,1,3
p0002,2025-01-03 07:45:37,professional,build-in-public,208,0,0,0,0
p0003,2025-01-03 16:51:56,professional,how-to,5165,38,14,1,2
p0004,2025-01-04 16:00:56,professional,build-in-public,1614,8,5,5,0
p0005,2025-01-05 03:04:59,professional,how-to,2667,11,2,1,1
p0006,2025-01-05 10:25:16,professional,how-to,602,5,0,1,0
p0007,2025-01-06 05:06:12,professional,build-in-public,2577,27,9,0,0
p0008,2025-01-07 22:30:45,professional,build-in-public,3367,25,2,1,0
p0009,2025-01-08 14:15:43,professional,hot-take,1400,11,2,0,0
p0010,2025-01-09 01:58:46,professional,build-in-public,1402,19,3,1,0
p0011,2025-01-10 02:02:10,daily,personal,1456,3,0,0,0
p0012,2025-01-10 10:11:16,professional,hot-take,442,1,2,0,0
p0013,2025-01-10 10:20:52,professional,how-to,939,20,1,0,0
p0014,2025-01-11 05:27:38,professional,hot-take,934,0,6,0,0
p0015,2025-01-11 10:19:41,professional,build-in-public,1640,17,1,0,1
p0016,2025-01-11 14:54:02,daily,personal,3133,23,3,1,0
p0017,2025-01-11 17:10:36,professional,how-to,360,2,0,0,0
p0018,2025-01-11 18:39:27,daily,personal,961,16,1,0,1
p0019,2025-01-11 23:08:24,professional,build-in-public,5195,70,6,6,0
p0020,2025-01-12 04:58:13,professional,how-to,502,2,0,0,0
p0021,2025-01-12 11:17:33,professional,how-to,462,7,0,0,0
p0022,2025-01-12 13:40:45,daily,personal,1356,6,0,0,1
p0023,2025-01-13 15:08:35,professional,hot-take,2661,11,9,0,3
p0024,2025-01-14 15:05:52,professional,how-to,1109,8,0,0,0
p0025,2025-01-15 01:01:29,professional,build-in-public,4426,60,8,8,0
p0026,2025-01-16 00:39:28,professional,how-to,2696,16,4,4,2
p0027,2025-01-16 04:21:34,professional,how-to,2654,15,9,1,1
p0028,2025-01-16 05:53:33,professional,how-to,1962,16,0,0,0
p0029,2025-01-16 11:03:20,professional,build-in-public,12632,187,24,12,4
p0030,2025-01-17 15:07:59,daily,personal,884,8,0,1,0
p0031,2025-01-17 15:15:36,daily,personal,133,1,0,0,0
p0032,2025-01-17 16:28:49,professional,build-in-public,5910,57,10,4,2
p0033,2025-01-19 03:00:12,professional,hot-take,678,9,0,0,1
p0034,2025-01-19 08:39:02,professional,build-in-public,1228,6,2,2,1
p0035,2025-01-20 02:55:31,professional,hot-take,4337,46,17,0,1
p0036,2025-01-20 04:35:31,professional,build-in-public,203,0,0,0,0
p0037,2025-01-20 15:53:39,professional,hot-take,294,4,1,0,0
p0038,2025-01-20 18:42:26,professional,hot-take,204,0,1,0,0
p0039,2025-01-20 20:52:28,daily,personal,476,3,3,0,0
p0040,2025-01-22 00:51:47,professional,build-in-public,1739,15,1,1,1
p0041,2025-01-22 17:21:42,daily,personal,1901,7,2,0,1
p0042,2025-01-23 13:07:48,professional,build-in-public,1465,35,1,1,1
p0043,2025-01-24 03:53:17,professional,build-in-public,248,0,0,0,1
p0044,2025-01-24 18:56:16,professional,hot-take,96,0,0,0,0
p0045,2025-01-24 23:23:49,professional,how-to,1161,11,1,0,0
p0046,2025-01-25 01:56:59,daily,personal,668,1,0,0,0
p0047,2025-01-26 12:51:13,daily,personal,1776,23,1,0,0
p0048,2025-01-28 00:03:11,professional,how-to,2291,23,2,1,1
p0049,2025-01-28 00:59:37,daily,personal,1267,5,1,0,0
p0050,2025-01-28 20:07:52,professional,build-in-public,2436,34,12,2,0
p0051,2025-01-29 09:54:59,professional,how-to,1395,16,2,1,0
p0052,2025-01-29 12:10:37,professional,build-in-public,1913,27,1,2,0
p0053,2025-01-30 05:05:39,daily,personal,523,4,1,0,0
p0054,2025-02-01 01:48:57,professional,build-in-public,908,5,1,1,1
p0055,2025-02-01 08:37:37,professional,build-in-public,1348,13,1,1,4
p0056,2025-02-01 15:19:28,professional,how-to,2595,25,6,0,1
p0057,2025-02-02 09:31:18,daily,personal,725,1,0,0,1
p0058,2025-02-02 21:49:19,daily,personal,1895,8,0,1,0
p0059,2025-02-02 22:25:32,professional,hot-take,829,5,5,0,0
p0060,2025-02-02 23:27:33,daily,personal,969,6,2,0,0
p0061,2025-02-03 11:37:56,daily,personal,2620,15,0,0,0
p0062,2025-02-04 07:27:54,professional,how-to,135,2,0,0,0
p0063,2025-02-04 22:30:13,professional,how-to,281,2,0,0,0
p0064,2025-02-05 21:07:06,daily,personal,231,0,0,0,0
